id,answer_384,raw_output_384,parse_failed_384,fallback_used_384,gold_384,correct_384,strict_correct_384,group_id_384,question_type_384,image_meta_384,answer_new,raw_output_new,parse_failed_new,fallback_used_new,gold_new,correct_new,strict_correct_new,group_id_new,question_type_new,image_meta_new,transition
train_0074.jpg,c,c,False,False,b,False,False,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0074.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 40, 30]], ""processed_hw"": [[640, 480]], ""visual_tokens"": 300}",gain
train_0207.jpg,a,a,False,False,a,True,True,g_train_0207.jpg,price,"{""original_size"": [720, 720], ""grid_thw"": [[1, 24, 24]], ""processed_hw"": [[384, 384]], ""visual_tokens"": 144}",b,b,False,False,a,False,False,g_train_0207.jpg,price,"{""original_size"": [720, 720], ""grid_thw"": [[1, 34, 34]], ""processed_hw"": [[544, 544]], ""visual_tokens"": 289}",loss
train_0369.jpg,a,a,False,False,b,False,False,g_train_0369.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0369.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 30, 40]], ""processed_hw"": [[480, 640]], ""visual_tokens"": 300}",gain
train_0502.jpg,b,b,False,False,a,False,False,g_train_0502.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,a,True,True,g_train_0502.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 40, 30]], ""processed_hw"": [[640, 480]], ""visual_tokens"": 300}",gain
train_0539.jpg,d,d,False,False,b,False,False,g_train_0539.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_0539.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 40, 30]], ""processed_hw"": [[640, 480]], ""visual_tokens"": 300}",gain
train_0714.jpg,a,a,False,False,d,False,False,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0714.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 40, 30]], ""processed_hw"": [[640, 480]], ""visual_tokens"": 300}",gain
train_0864.jpg,a,a,False,False,d,False,False,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0864.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 30, 40]], ""processed_hw"": [[480, 640]], ""visual_tokens"": 300}",gain
train_0933.jpg,a,a,False,False,d,False,False,g_train_0933.jpg,number,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0933.jpg,number,"{""original_size"": [960, 720], ""grid_thw"": [[1, 30, 40]], ""processed_hw"": [[480, 640]], ""visual_tokens"": 300}",gain
train_1036.jpg,b,b,False,False,c,False,False,g_train_1036.jpg,text_other,"{""original_size"": [720, 1279], ""grid_thw"": [[1, 30, 18]], ""processed_hw"": [[480, 288]], ""visual_tokens"": 135}",c,c,False,False,c,True,True,g_train_1036.jpg,text_other,"{""original_size"": [720, 1279], ""grid_thw"": [[1, 46, 26]], ""processed_hw"": [[736, 416]], ""visual_tokens"": 299}",gain
train_1442.jpg,b,b,False,False,c,False,False,g_train_1442.jpg,text_other,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",c,c,False,False,c,True,True,g_train_1442.jpg,text_other,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 26, 46]], ""processed_hw"": [[416, 736]], ""visual_tokens"": 299}",gain
