update,mean_loss,grad_norm,lr
1,3.1932515501976013,2.2917373180389404,0.0001
2,3.3369688987731934,1.9332479238510132,9.772727272727274e-05
3,3.022370755672455,2.0836431980133057,9.545454545454546e-05
4,3.144798994064331,2.187962770462036,9.318181818181818e-05
5,3.0800454020500183,2.54471492767334,9.090909090909092e-05
6,2.842830538749695,1.895909309387207,8.863636363636364e-05
7,2.347404897212982,1.6761586666107178,8.636363636363637e-05
8,2.362208068370819,1.8437377214431763,8.40909090909091e-05
9,2.0309601426124573,1.5625064373016357,8.181818181818183e-05
10,2.0012305974960327,1.6093412637710571,7.954545454545455e-05
11,2.1738487780094147,1.3714529275894165,7.727272727272727e-05
12,1.846864640712738,1.4619102478027344,7.500000000000001e-05
13,1.6723188757896423,2.062927484512329,7.272727272727273e-05
14,1.5353214144706726,1.1141061782836914,7.045454545454546e-05
15,1.5668601393699646,1.2864937782287598,6.818181818181818e-05
16,1.4149806946516037,1.1007249355316162,6.59090909090909e-05
17,1.4216449558734894,1.2435168027877808,6.363636363636364e-05
18,1.3681694716215134,1.2820756435394287,6.136363636363636e-05
19,1.2414829730987549,0.9693918228149414,5.90909090909091e-05
20,1.0141445696353912,1.0211158990859985,5.6818181818181825e-05
21,1.164489671587944,1.136907935142517,5.4545454545454546e-05
22,1.2750615030527115,1.210353136062622,5.2272727272727274e-05
23,0.9829033464193344,1.0299439430236816,5e-05
24,1.2022908329963684,2.730868339538574,4.772727272727273e-05
25,0.8334351927042007,0.9273940920829773,4.545454545454546e-05
26,0.9378440231084824,1.0245212316513062,4.318181818181819e-05
27,0.8366611450910568,0.8864102363586426,4.0909090909090915e-05
28,0.8204275518655777,2.856985330581665,3.8636363636363636e-05
29,1.1052790135145187,0.8192871809005737,3.6363636363636364e-05
30,0.6338704004883766,0.9900528192520142,3.409090909090909e-05
31,0.7510116100311279,1.1451164484024048,3.181818181818182e-05
32,0.9414639174938202,0.9576272964477539,2.954545454545455e-05
33,0.8874582946300507,1.2726393938064575,2.7272727272727273e-05
34,1.0693089216947556,0.8617783784866333,2.5e-05
35,0.9000366181135178,0.8641418814659119,2.272727272727273e-05
36,1.1012324914336205,0.8831641674041748,2.0454545454545457e-05
37,0.8577867522835732,0.91666579246521,1.8181818181818182e-05
38,0.7674366235733032,0.8450813889503479,1.590909090909091e-05
39,0.8097411841154099,0.8491882681846619,1.3636363636363637e-05
40,0.8601252660155296,0.8925343751907349,1.1363636363636365e-05
41,0.8353781402111053,0.8543043732643127,9.090909090909091e-06
42,0.7658914178609848,0.8454087376594543,6.818181818181818e-06
43,0.9514577984809875,1.1156868934631348,4.5454545454545455e-06
44,0.8012228012084961,3.5098209381103516,2.2727272727272728e-06
45,0.7683269828557968,0.8063504695892334,0.0
