id,split,path,pixel_sha256,width,height
train_1194.jpg,train,train/train_1194.jpg,29eaf74280609814b0b16f33e4447e8b1cbf412fc9e7e22eeb16d364bef1aec6,720,960
train_3865.jpg,train,train/train_3865.jpg,69a883e3eff1979c46bc9629a868a23fe14a5bf32aa5a42ba37f3d96d32f85c3,720,960
train_0682.jpg,train,train/train_0682.jpg,23d2b35be39e6a4b9ae56d32cd95ad6b9bb8582f16f6460e6ea3b9ef865311fe,720,960
train_3708.jpg,train,train/train_3708.jpg,107d973a75e12fa022c457bc88db2cb2481919830fe5de4018871c5fcec8a8f2,720,960
train_3576.jpg,train,train/train_3576.jpg,177e1cb7fdcc92b51515e02bd15c3387aa539baf2fcbdffb06b1d8e5cde7ec38,720,960
train_5924.jpg,train,train/train_5924.jpg,18471fea821624b423382dafc9566d9ab1d71306fe6f2b5b2ea8f9920f18dfd9,720,960
train_6530.jpg,train,train/train_6530.jpg,29faf26c04c2ca54413458261cea748f489e62b4f1837d4ebe656f2a7ac8a33c,720,960
train_1050.jpg,train,train/train_1050.jpg,37adae1f5cdae194c03d1c1cd09374e03bda16f5d7995c1fedb1f52c8021e59c,720,960
train_6586.jpg,train,train/train_6586.jpg,f6160466ae38fa966fe4745d213ca03f8855cd6dae237884ca4ca6b400cb6ac4,720,960
train_4601.jpg,train,train/train_4601.jpg,e63547bd9fd5c29283f7cfa841e2a60a0a62d8b7cae3005a69cec3c37a0b0ff6,720,960
train_6206.jpg,train,train/train_6206.jpg,52b0d19cc7f266542b13353c088275e32f8f8c0f2fbbcbc991c873856b52901e,720,960
train_3760.jpg,train,train/train_3760.jpg,7efc03a26655fd98e1e48c51cc0fba6a5ad5604e29261d27cb40f0e699407405,960,720
train_4232.jpg,train,train/train_4232.jpg,fa23368d01851e7ea16bf91f41c612967b53694e48c1647728a65944b2cc44fb,720,960
train_5404.jpg,train,train/train_5404.jpg,fe780d88b81bdabcc8e529ee60e584a9f37d19252411ac7788f1c949e3a218ba,720,960
train_1150.jpg,train,train/train_1150.jpg,eb87121a6c929bc6576d780f3a61c5dabbc6352219c5ce35794d0946b82a83fc,720,960
train_6594.jpg,train,train/train_6594.jpg,79470bdc7a951cde4b099cecf22892f244c976b41ae79ff8e6676ee858beee97,960,720
train_5332.jpg,train,train/train_5332.jpg,62969390402b3bbb1aa188ebe0d0f9813d1524f9ed5ec6658474d5ba02718d9b,720,960
train_5961.jpg,train,train/train_5961.jpg,b0e8d11e9e4deb1ef0ae2f18172a683cd8b645a532bed93af3e76e58599cd118,720,1561
train_2115.jpg,train,train/train_2115.jpg,850c222335f50899253c56cecd22ae3f09f8b75cd01165d5659305abf7527897,720,960
train_1612.jpg,train,train/train_1612.jpg,7e7906cc5ab910a3485cae1619222046741300ef1840a108686ab7dd88f2b18f,720,960
train_6558.jpg,train,train/train_6558.jpg,ae26f5b83f5b6ddaa3bed421083f55b7d68141ecf6f09faf222429285852e28f,720,1481
