id,split,split_position,image_path,file_sha256,pixel_sha256,dhash,image_error,train_csv_sha256,historical_split_confirmed
train_1194.jpg,train,0,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_1194.jpg,8e6add49e620839837cb1b597c00a988639c78c388992770c1d5c1ae075d503a,29eaf74280609814b0b16f33e4447e8b1cbf412fc9e7e22eeb16d364bef1aec6,e0fce07272c2e874,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_3865.jpg,train,1,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_3865.jpg,572a24a676cc3b6e0eb59247461961204dd43c5b766be138c6ebc4d4c0857fa0,69a883e3eff1979c46bc9629a868a23fe14a5bf32aa5a42ba37f3d96d32f85c3,24263effd6b66c6c,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_0682.jpg,train,2,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_0682.jpg,8ea63ded0d02991c2d0a7e1b2ee405551cf9e45d3cc781ce8bf1fa76337f4f13,23d2b35be39e6a4b9ae56d32cd95ad6b9bb8582f16f6460e6ea3b9ef865311fe,8206c078c8f8fc38,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_3708.jpg,train,3,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_3708.jpg,93c2904da187c1107c07e0b9d40a6c9d245ac94a295e26bacbf682549e2baf38,107d973a75e12fa022c457bc88db2cb2481919830fe5de4018871c5fcec8a8f2,c7c5e2f23039b7ca,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_3576.jpg,train,4,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_3576.jpg,66653ce0c130501679ce195794102324463ae4b9d9e7c939308855dd0d4b64f3,177e1cb7fdcc92b51515e02bd15c3387aa539baf2fcbdffb06b1d8e5cde7ec38,45dfe3e315abebb3,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_5924.jpg,train,5,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_5924.jpg,c8996fbd074e114c93b5b86f5429450ed0939981685818759f2738efaef2b58c,18471fea821624b423382dafc9566d9ab1d71306fe6f2b5b2ea8f9920f18dfd9,110f5ad89a8cb8f8,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_6530.jpg,train,6,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_6530.jpg,a1bfb3bc0e2daf7094918b67f245aa57f2f0605e9097497ce19c9b02aa0d5628,29faf26c04c2ca54413458261cea748f489e62b4f1837d4ebe656f2a7ac8a33c,7ebb72666676e3e3,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_1050.jpg,train,7,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_1050.jpg,7049297ed76d963c88a94af1046762cb04f309800b513010f53cbcbd1fa89b51,37adae1f5cdae194c03d1c1cd09374e03bda16f5d7995c1fedb1f52c8021e59c,25b1b1f1acccfbcb,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_6586.jpg,train,8,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_6586.jpg,04f7a6bf3b391021595e899597c6b34e6a0b6cd5a50c9859c304408be7fa123f,f6160466ae38fa966fe4745d213ca03f8855cd6dae237884ca4ca6b400cb6ac4,31383c3d2f870000,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
train_4601.jpg,train,9,C:\Users\SSAFY\Desktop\AI2_Challenge\data\train\train_4601.jpg,91b01ae4b875d181c6e538348bcd81fedc6a764b9d6a0ed2c86e755ecdd2b606,e63547bd9fd5c29283f7cfa841e2a60a0a62d8b7cae3005a69cec3c37a0b0ff6,f3b3968cd5c5c0c0,,83b31c210e42f9c47aa992960dfb5e5519cc2fdea089c82158ed2d73b1fa985b,False
