id,path,split
train_1194.jpg,train/train_1194.jpg,train
train_3865.jpg,train/train_3865.jpg,train
train_0682.jpg,train/train_0682.jpg,train
train_3708.jpg,train/train_3708.jpg,train
train_3576.jpg,train/train_3576.jpg,train
train_5924.jpg,train/train_5924.jpg,train
train_6530.jpg,train/train_6530.jpg,train
train_1050.jpg,train/train_1050.jpg,train
train_6586.jpg,train/train_6586.jpg,train
train_4601.jpg,train/train_4601.jpg,train
train_6206.jpg,train/train_6206.jpg,train
train_3760.jpg,train/train_3760.jpg,train
train_4232.jpg,train/train_4232.jpg,train
train_5404.jpg,train/train_5404.jpg,train
train_1150.jpg,train/train_1150.jpg,train
train_6594.jpg,train/train_6594.jpg,train
train_5332.jpg,train/train_5332.jpg,train
train_5961.jpg,train/train_5961.jpg,train
train_2115.jpg,train/train_2115.jpg,train
train_1612.jpg,train/train_1612.jpg,train
train_6558.jpg,train/train_6558.jpg,train
train_0677.jpg,train/train_0677.jpg,train
train_1873.jpg,train/train_1873.jpg,train
train_4295.jpg,train/train_4295.jpg,train
train_6460.jpg,train/train_6460.jpg,train
train_6630.jpg,train/train_6630.jpg,train
train_5890.jpg,train/train_5890.jpg,train
train_0829.jpg,train/train_0829.jpg,train
train_0133.jpg,train/train_0133.jpg,train
train_0218.jpg,train/train_0218.jpg,train
train_4170.jpg,train/train_4170.jpg,train
train_3537.jpg,train/train_3537.jpg,train
train_4946.jpg,train/train_4946.jpg,train
train_6535.jpg,train/train_6535.jpg,train
train_4889.jpg,train/train_4889.jpg,train
train_5974.jpg,train/train_5974.jpg,train
train_0231.jpg,train/train_0231.jpg,train
train_3856.jpg,train/train_3856.jpg,train
train_2800.jpg,train/train_2800.jpg,train
train_5372.jpg,train/train_5372.jpg,train
train_3552.jpg,train/train_3552.jpg,train
train_1316.jpg,train/train_1316.jpg,train
train_0535.jpg,train/train_0535.jpg,train
train_6702.jpg,train/train_6702.jpg,train
train_5850.jpg,train/train_5850.jpg,train
train_4954.jpg,train/train_4954.jpg,train
train_1727.jpg,train/train_1727.jpg,train
train_5386.jpg,train/train_5386.jpg,train
train_4559.jpg,train/train_4559.jpg,train
train_4839.jpg,train/train_4839.jpg,train
train_2796.jpg,train/train_2796.jpg,train
train_3853.jpg,train/train_3853.jpg,train
train_2928.jpg,train/train_2928.jpg,train
train_3689.jpg,train/train_3689.jpg,train
train_2956.jpg,train/train_2956.jpg,train
train_3787.jpg,train/train_3787.jpg,train
train_6310.jpg,train/train_6310.jpg,train
train_5313.jpg,train/train_5313.jpg,train
train_2619.jpg,train/train_2619.jpg,train
train_0322.jpg,train/train_0322.jpg,train
train_4149.jpg,train/train_4149.jpg,train
train_5347.jpg,train/train_5347.jpg,train
train_2927.jpg,train/train_2927.jpg,train
train_2851.jpg,train/train_2851.jpg,train
train_5600.jpg,train/train_5600.jpg,train
train_2182.jpg,train/train_2182.jpg,train
train_3019.jpg,train/train_3019.jpg,train
train_2433.jpg,train/train_2433.jpg,train
train_1472.jpg,train/train_1472.jpg,train
train_5539.jpg,train/train_5539.jpg,train
train_1920.jpg,train/train_1920.jpg,train
train_1730.jpg,train/train_1730.jpg,train
train_0409.jpg,train/train_0409.jpg,train
train_6048.jpg,train/train_6048.jpg,train
train_2978.jpg,train/train_2978.jpg,train
train_5534.jpg,train/train_5534.jpg,train
train_4238.jpg,train/train_4238.jpg,train
train_5456.jpg,train/train_5456.jpg,train
train_1098.jpg,train/train_1098.jpg,train
train_5412.jpg,train/train_5412.jpg,train
train_1841.jpg,train/train_1841.jpg,train
train_2432.jpg,train/train_2432.jpg,train
train_1974.jpg,train/train_1974.jpg,train
train_3553.jpg,train/train_3553.jpg,train
train_5986.jpg,train/train_5986.jpg,train
train_4520.jpg,train/train_4520.jpg,train
train_4686.jpg,train/train_4686.jpg,train
train_0801.jpg,train/train_0801.jpg,train
train_2230.jpg,train/train_2230.jpg,train
train_3843.jpg,train/train_3843.jpg,train
train_5604.jpg,train/train_5604.jpg,train
train_5420.jpg,train/train_5420.jpg,train
train_1048.jpg,train/train_1048.jpg,train
train_2543.jpg,train/train_2543.jpg,train
train_2096.jpg,train/train_2096.jpg,train
train_2317.jpg,train/train_2317.jpg,train
train_1776.jpg,train/train_1776.jpg,train
train_0737.jpg,train/train_0737.jpg,train
train_2918.jpg,train/train_2918.jpg,train
train_2901.jpg,train/train_2901.jpg,train
train_0335.jpg,train/train_0335.jpg,train
train_3959.jpg,train/train_3959.jpg,train
train_1010.jpg,train/train_1010.jpg,train
