id,group_id,question_type
train_0027.jpg,g_train_0027.jpg,text_other
train_0057.jpg,g_train_0057.jpg,price
train_0078.jpg,g_train_0078.jpg,text_other
train_0085.jpg,g_train_0085.jpg,text_other
train_0094.jpg,g_train_0094.jpg,position
train_0110.jpg,g_train_0110.jpg,price
train_0111.jpg,g_train_0111.jpg,text_other
train_0114.jpg,g_train_0114.jpg,text_other
train_0123.jpg,g_train_0123.jpg,text_other
train_0128.jpg,g_train_0128.jpg,text_other
train_0145.jpg,g_train_0145.jpg,text_other
train_0148.jpg,g_train_0148.jpg,text_other
train_0150.jpg,g_train_0150.jpg,position
train_0152.jpg,g_train_0152.jpg,text_other
train_0155.jpg,g_train_0155.jpg,position
train_0156.jpg,g_train_0156.jpg,number
train_0182.jpg,g_train_0182.jpg,text_other
train_0183.jpg,g_train_0183.jpg,position
train_0186.jpg,g_train_0186.jpg,text_other
train_0188.jpg,g_train_0188.jpg,text_other
train_0196.jpg,g_train_0196.jpg,price
train_0197.jpg,g_train_0197.jpg,text_other
train_0202.jpg,g_train_0202.jpg,text_other
train_0208.jpg,g_train_0208.jpg,text_other
train_0216.jpg,g_train_0216.jpg,text_other
train_0220.jpg,g_train_0220.jpg,text_other
train_0223.jpg,g_train_0223.jpg,number
train_0225.jpg,g_train_0225.jpg,text_other
train_0233.jpg,g_train_0233.jpg,number
train_0234.jpg,g_train_0234.jpg,text_other
train_0247.jpg,g_train_0247.jpg,price
train_0252.jpg,g_train_0252.jpg,number
train_0275.jpg,g_train_0275.jpg,price
train_0286.jpg,g_train_0286.jpg,negation
train_0304.jpg,g_train_0304.jpg,number
train_0307.jpg,g_train_0307.jpg,price
train_0335.jpg,g_train_0335.jpg,price
train_0336.jpg,g_train_0336.jpg,text_other
train_0353.jpg,g_train_0353.jpg,number
train_0355.jpg,g_train_0355.jpg,text_other
train_0365.jpg,g_train_0365.jpg,negation
train_0367.jpg,g_train_0367.jpg,text_other
train_0400.jpg,g_train_0400.jpg,text_other
train_0411.jpg,g_train_0411.jpg,text_other
train_0413.jpg,g_train_0413.jpg,number
train_0415.jpg,g_train_0415.jpg,number
train_0442.jpg,g_train_0442.jpg,text_other
train_0451.jpg,g_train_0451.jpg,text_other
train_0456.jpg,g_train_0456.jpg,price
train_0459.jpg,g_train_0459.jpg,text_other
train_0463.jpg,g_train_0463.jpg,text_other
train_0467.jpg,g_train_0467.jpg,text_other
train_0468.jpg,g_train_0468.jpg,text_other
train_0470.jpg,g_train_0470.jpg,number
train_0488.jpg,g_train_0488.jpg,text_other
train_0491.jpg,g_train_0491.jpg,number
train_0514.jpg,g_train_0514.jpg,text_other
train_0524.jpg,g_train_0524.jpg,text_other
train_0528.jpg,g_train_0528.jpg,text_other
train_0530.jpg,g_train_0530.jpg,text_other
train_0533.jpg,g_train_0533.jpg,text_other
train_0534.jpg,g_train_0534.jpg,text_other
train_0538.jpg,g_train_0538.jpg,text_other
train_0556.jpg,g_train_0556.jpg,price
train_0560.jpg,g_train_0560.jpg,negation
train_0566.jpg,g_train_0566.jpg,text_other
train_0580.jpg,g_train_0580.jpg,text_other
train_0591.jpg,g_train_0591.jpg,text_other
train_0592.jpg,g_train_0592.jpg,text_other
train_0599.jpg,g_train_0599.jpg,text_other
train_0600.jpg,g_train_0600.jpg,price
train_0606.jpg,g_train_0606.jpg,position
train_0612.jpg,g_train_0612.jpg,text_other
train_0614.jpg,g_train_0614.jpg,text_other
train_0623.jpg,g_train_0623.jpg,number
train_0630.jpg,g_train_0630.jpg,text_other
train_0632.jpg,g_train_0632.jpg,text_other
train_0640.jpg,g_train_0640.jpg,text_other
train_0643.jpg,g_train_0643.jpg,number
train_0645.jpg,g_train_0645.jpg,number
train_0651.jpg,g_train_0651.jpg,text_other
train_0663.jpg,g_train_0663.jpg,text_other
train_0668.jpg,g_train_0668.jpg,price
train_0673.jpg,g_train_0673.jpg,text_other
train_0680.jpg,g_train_0680.jpg,text_other
train_0684.jpg,g_train_0684.jpg,number
train_0685.jpg,g_train_0685.jpg,text_other
train_0687.jpg,g_train_0687.jpg,text_other
train_0688.jpg,g_train_0688.jpg,position
train_0690.jpg,g_train_0690.jpg,text_other
train_0711.jpg,g_train_0711.jpg,text_other
train_0734.jpg,g_train_0734.jpg,text_other
train_0736.jpg,g_train_0736.jpg,price
train_0738.jpg,g_train_0738.jpg,price
train_0740.jpg,g_train_0740.jpg,negation
train_0744.jpg,g_train_0744.jpg,price
train_0746.jpg,g_train_0746.jpg,text_other
train_0752.jpg,g_train_0752.jpg,text_other
train_0761.jpg,g_train_0761.jpg,text_other
train_0769.jpg,g_train_0769.jpg,number
train_0773.jpg,g_train_0773.jpg,text_other
train_0774.jpg,g_train_0774.jpg,text_other
train_0786.jpg,g_train_0786.jpg,text_other
train_0789.jpg,g_train_0789.jpg,price
train_0790.jpg,g_train_0790.jpg,text_other
train_0797.jpg,g_train_0797.jpg,text_other
train_0802.jpg,g_train_0802.jpg,text_other
train_0829.jpg,g_train_0829.jpg,number
train_0831.jpg,g_train_0831.jpg,text_other
train_0839.jpg,g_train_0839.jpg,text_other
train_0846.jpg,g_train_0846.jpg,text_other
train_0849.jpg,g_train_0849.jpg,price
train_0852.jpg,g_train_0852.jpg,text_other
train_0863.jpg,g_train_0863.jpg,price
train_0870.jpg,g_train_0870.jpg,text_other
train_0880.jpg,g_train_0880.jpg,text_other
train_0886.jpg,g_train_0886.jpg,text_other
train_0888.jpg,g_train_0888.jpg,text_other
train_0889.jpg,g_train_0889.jpg,text_other
train_0900.jpg,g_train_0900.jpg,text_other
train_0904.jpg,g_train_0904.jpg,text_other
train_0913.jpg,g_train_0913.jpg,position
train_0922.jpg,g_train_0922.jpg,text_other
train_0932.jpg,g_train_0932.jpg,text_other
train_0940.jpg,g_train_0940.jpg,price
train_0942.jpg,g_train_0942.jpg,text_other
train_0960.jpg,g_train_0960.jpg,number
train_0961.jpg,g_train_0961.jpg,text_other
train_0962.jpg,g_train_0962.jpg,text_other
train_0968.jpg,g_train_0968.jpg,text_other
train_0971.jpg,g_train_0971.jpg,number
train_0972.jpg,g_train_0972.jpg,text_other
train_0975.jpg,g_train_0975.jpg,number
train_0976.jpg,g_train_0976.jpg,number
train_0978.jpg,g_train_0978.jpg,text_other
train_0979.jpg,g_train_0979.jpg,text_other
train_0992.jpg,g_train_0992.jpg,text_other
train_0993.jpg,g_train_0993.jpg,position
train_0997.jpg,g_train_0997.jpg,text_other
train_1005.jpg,g_train_1005.jpg,text_other
train_1008.jpg,g_train_1008.jpg,text_other
train_1012.jpg,g_train_1012.jpg,text_other
train_1018.jpg,g_train_1018.jpg,position
train_1024.jpg,g_train_1024.jpg,text_other
train_1028.jpg,g_train_1028.jpg,text_other
train_1034.jpg,g_train_1034.jpg,price
train_1043.jpg,g_train_1043.jpg,text_other
train_1064.jpg,g_train_1064.jpg,number
train_1065.jpg,g_train_1065.jpg,position
train_1069.jpg,g_train_1069.jpg,text_other
train_1073.jpg,g_train_1073.jpg,price
train_1100.jpg,g_train_1100.jpg,text_other
train_1115.jpg,g_train_1115.jpg,price
train_1120.jpg,g_train_1120.jpg,price
train_1125.jpg,g_train_1125.jpg,text_other
train_1136.jpg,g_train_1136.jpg,text_other
train_1139.jpg,g_train_1139.jpg,text_other
train_1141.jpg,g_train_1141.jpg,text_other
train_1146.jpg,g_train_1146.jpg,text_other
train_1148.jpg,g_train_1148.jpg,text_other
train_1151.jpg,g_train_1151.jpg,text_other
train_1156.jpg,g_train_1156.jpg,text_other
train_1158.jpg,g_train_1158.jpg,text_other
train_1161.jpg,g_train_1161.jpg,price
train_1162.jpg,g_train_1162.jpg,text_other
train_1173.jpg,g_train_1173.jpg,price
train_1184.jpg,g_train_1184.jpg,price
train_1189.jpg,g_train_1189.jpg,price
train_1190.jpg,g_train_1190.jpg,text_other
train_1207.jpg,g_train_1207.jpg,text_other
train_1211.jpg,g_train_1211.jpg,text_other
train_1219.jpg,g_train_1219.jpg,price
train_1226.jpg,g_train_1226.jpg,position
train_1231.jpg,g_train_1231.jpg,text_other
train_1237.jpg,g_train_1237.jpg,text_other
train_1243.jpg,g_train_1243.jpg,text_other
train_1251.jpg,g_train_1251.jpg,negation
train_1254.jpg,g_train_1254.jpg,text_other
train_1255.jpg,g_train_1255.jpg,text_other
train_1256.jpg,g_train_1256.jpg,text_other
train_1258.jpg,g_train_1258.jpg,text_other
train_1261.jpg,g_train_1261.jpg,text_other
train_1263.jpg,g_train_1263.jpg,text_other
train_1266.jpg,g_train_1266.jpg,text_other
train_1281.jpg,g_train_1281.jpg,text_other
train_1298.jpg,g_train_1298.jpg,text_other
train_1310.jpg,g_train_1310.jpg,price
train_1313.jpg,g_train_1313.jpg,price
train_1320.jpg,g_train_1320.jpg,price
train_1327.jpg,g_train_1327.jpg,text_other
train_1328.jpg,g_train_1328.jpg,text_other
train_1329.jpg,g_train_1329.jpg,text_other
train_1340.jpg,g_train_1340.jpg,text_other
train_1349.jpg,g_train_1349.jpg,number
train_1351.jpg,g_train_1351.jpg,text_other
train_1353.jpg,g_train_1353.jpg,text_other
train_1358.jpg,g_train_1358.jpg,text_other
train_1359.jpg,g_train_1359.jpg,price
train_1362.jpg,g_train_1362.jpg,text_other
train_1369.jpg,g_train_1369.jpg,text_other
train_1372.jpg,g_train_1372.jpg,price
train_1381.jpg,g_train_1381.jpg,text_other
train_1384.jpg,g_train_1384.jpg,text_other
train_1385.jpg,g_train_1385.jpg,text_other
train_1392.jpg,g_train_1392.jpg,position
train_1397.jpg,g_train_1397.jpg,text_other
train_1402.jpg,g_train_1402.jpg,text_other
train_1419.jpg,g_train_1419.jpg,text_other
train_1423.jpg,g_train_1423.jpg,text_other
train_1429.jpg,g_train_1429.jpg,negation
train_1431.jpg,g_train_1431.jpg,text_other
train_1434.jpg,g_train_1434.jpg,text_other
train_1437.jpg,g_train_1437.jpg,price
train_1439.jpg,g_train_1439.jpg,text_other
train_1441.jpg,g_train_1441.jpg,text_other
train_1454.jpg,g_train_1454.jpg,text_other
train_1456.jpg,g_train_1456.jpg,text_other
train_1460.jpg,g_train_1460.jpg,text_other
train_1469.jpg,g_train_1469.jpg,text_other
train_1471.jpg,g_train_1471.jpg,text_other
train_1474.jpg,g_train_1474.jpg,text_other
train_1481.jpg,g_train_1481.jpg,price
train_1485.jpg,g_train_1485.jpg,text_other
train_1498.jpg,g_train_1498.jpg,text_other
train_1501.jpg,g_train_1501.jpg,text_other
train_1502.jpg,g_train_1502.jpg,price
train_1511.jpg,g_train_1511.jpg,text_other
train_1525.jpg,g_train_1525.jpg,text_other
train_1538.jpg,g_train_1538.jpg,text_other
train_1540.jpg,g_train_1540.jpg,text_other
train_1547.jpg,g_train_1547.jpg,price
train_1549.jpg,g_train_1549.jpg,text_other
train_1551.jpg,g_train_1551.jpg,price
train_1555.jpg,g_train_1555.jpg,text_other
train_1572.jpg,g_train_1572.jpg,text_other
train_1575.jpg,g_train_1575.jpg,text_other
train_1585.jpg,g_train_1585.jpg,text_other
train_1591.jpg,g_train_1591.jpg,text_other
train_1598.jpg,g_train_1598.jpg,number
train_1599.jpg,g_train_1599.jpg,text_other
train_1606.jpg,g_train_1606.jpg,text_other
train_1614.jpg,g_train_1614.jpg,number
train_1618.jpg,g_train_1618.jpg,text_other
train_1622.jpg,g_train_1622.jpg,text_other
train_1624.jpg,g_train_1624.jpg,text_other
train_1626.jpg,g_train_1626.jpg,text_other
train_1627.jpg,g_train_1627.jpg,text_other
train_1637.jpg,g_train_1637.jpg,text_other
train_1648.jpg,g_train_1648.jpg,text_other
train_1652.jpg,g_train_1652.jpg,text_other
train_1653.jpg,g_train_1653.jpg,text_other
train_1654.jpg,g_train_1654.jpg,text_other
train_1657.jpg,g_train_1657.jpg,number
train_1670.jpg,g_train_1670.jpg,text_other
train_1673.jpg,g_train_1673.jpg,text_other
train_1690.jpg,g_train_1690.jpg,position
train_1701.jpg,g_train_1701.jpg,text_other
train_1714.jpg,g_train_1714.jpg,negation
train_1717.jpg,g_train_1717.jpg,price
train_1718.jpg,g_train_1718.jpg,negation
train_1720.jpg,g_train_1720.jpg,text_other
train_1722.jpg,g_train_1722.jpg,text_other
train_1724.jpg,g_train_1724.jpg,text_other
train_1726.jpg,g_train_1726.jpg,price
train_1727.jpg,g_train_1727.jpg,position
train_1729.jpg,g_train_1729.jpg,text_other
train_1731.jpg,g_train_1731.jpg,text_other
train_1737.jpg,g_train_1737.jpg,text_other
train_1744.jpg,g_train_1744.jpg,negation
train_1748.jpg,g_train_1748.jpg,text_other
train_1758.jpg,g_train_1758.jpg,text_other
train_1760.jpg,g_train_1760.jpg,position
train_1763.jpg,g_train_1763.jpg,text_other
train_1772.jpg,g_train_1772.jpg,text_other
train_1775.jpg,g_train_1775.jpg,number
train_1780.jpg,g_train_1780.jpg,text_other
train_1781.jpg,g_train_1781.jpg,price
train_1782.jpg,g_train_1782.jpg,text_other
train_1788.jpg,g_train_1788.jpg,text_other
train_1793.jpg,g_train_1793.jpg,text_other
train_1794.jpg,g_train_1794.jpg,number
train_1799.jpg,g_train_1799.jpg,text_other
train_1802.jpg,g_train_1802.jpg,text_other
train_1830.jpg,g_train_1830.jpg,number
train_1861.jpg,g_train_1861.jpg,text_other
train_1866.jpg,g_train_1866.jpg,text_other
train_1868.jpg,g_train_1868.jpg,number
train_1874.jpg,g_train_1874.jpg,text_other
train_1878.jpg,g_train_1878.jpg,text_other
train_1883.jpg,g_train_1883.jpg,number
train_1893.jpg,g_train_1893.jpg,text_other
train_1896.jpg,g_train_1896.jpg,number
train_1897.jpg,g_train_1897.jpg,text_other
train_1902.jpg,g_train_1902.jpg,text_other
train_1924.jpg,g_train_1924.jpg,position
