epoch,update,loss,grad_norm,lr
1,1,2.81307452917099,5.627945423126221,0.0001
1,2,2.9878849387168884,5.685130596160889,9.772727272727274e-05
1,3,2.4165881276130676,4.971837997436523,9.545454545454546e-05
1,4,2.1315343976020813,4.972019672393799,9.318181818181818e-05
1,5,1.6269335746765137,3.1161937713623047,9.090909090909092e-05
1,6,1.4423916339874268,2.219710111618042,8.863636363636364e-05
1,7,1.3725952208042145,1.7598856687545776,8.636363636363637e-05
1,8,1.108402356505394,1.61516273021698,8.40909090909091e-05
1,9,0.9127691090106964,1.6803600788116455,8.181818181818183e-05
1,10,0.6902525871992111,2.113241672515869,7.954545454545455e-05
1,11,0.7454197704792023,1.6937952041625977,7.727272727272727e-05
1,12,0.778101772069931,2.0351107120513916,7.500000000000001e-05
1,13,0.6149899289011955,1.4537668228149414,7.272727272727273e-05
1,14,0.4629022032022476,1.305246353149414,7.045454545454546e-05
1,15,0.43532007932662964,1.0315954685211182,6.818181818181818e-05
1,16,0.3551156148314476,0.8579943776130676,6.59090909090909e-05
1,17,0.4292532727122307,0.9422819018363953,6.363636363636364e-05
1,18,0.4782203361392021,0.8858892321586609,6.136363636363636e-05
1,19,0.24911891669034958,0.8654060363769531,5.90909090909091e-05
1,20,0.3258868232369423,0.8428906798362732,5.6818181818181825e-05
1,21,0.4395166337490082,1.3698750734329224,5.4545454545454546e-05
1,22,0.27269819006323814,0.7193665504455566,5.2272727272727274e-05
1,23,0.6529046818614006,1.0877912044525146,5e-05
1,24,0.2997563499957323,0.9649763703346252,4.772727272727273e-05
1,25,0.33088089153170586,1.1989878416061401,4.545454545454546e-05
1,26,0.3654797710478306,0.7580146193504333,4.318181818181819e-05
1,27,0.34549680352211,0.8231000304222107,4.0909090909090915e-05
1,28,0.42230185121297836,0.8576416969299316,3.8636363636363636e-05
1,29,0.2924199067056179,0.6856578588485718,3.6363636363636364e-05
1,30,0.4454142302274704,0.8317859172821045,3.409090909090909e-05
1,31,0.39313533902168274,0.7339754104614258,3.181818181818182e-05
1,32,0.28117869049310684,0.8566622734069824,2.954545454545455e-05
1,33,0.38877469301223755,0.6965499520301819,2.7272727272727273e-05
1,34,0.42678144574165344,1.0946199893951416,2.5e-05
1,35,0.2541583813726902,0.6988131999969482,2.272727272727273e-05
1,36,0.32286179438233376,0.6540353298187256,2.0454545454545457e-05
1,37,0.5746197998523712,0.9244059324264526,1.8181818181818182e-05
1,38,0.41520965844392776,0.7819820642471313,1.590909090909091e-05
1,39,0.41220061480998993,0.7692748308181763,1.3636363636363637e-05
1,40,0.5677584782242775,0.8861786127090454,1.1363636363636365e-05
1,41,0.32562490552663803,0.6406647562980652,9.090909090909091e-06
1,42,0.32633838430047035,0.7170383334159851,6.818181818181818e-06
1,43,0.4580201953649521,0.7673167586326599,4.5454545454545455e-06
1,44,0.2367067988961935,0.6240708231925964,2.2727272727272728e-06
1,45,0.44048164039850235,0.8250772356987,0.0
