id,split,group_id,question_type
train_0001.jpg,pool,g_train_0001.jpg,text_other
train_0002.jpg,pool,g_train_0002.jpg,text_other
train_0003.jpg,pool,g_train_0003.jpg,negation
train_0004.jpg,pool,g_train_0004.jpg,text_other
train_0006.jpg,pool,g_train_0006.jpg,position
train_0008.jpg,pool,g_train_0008.jpg,number
train_0009.jpg,pool,g_train_0009.jpg,number
train_0010.jpg,pool,g_train_0010.jpg,price
train_0011.jpg,pool,g_train_0011.jpg,text_other
train_0012.jpg,pool,g_train_0012.jpg,text_other
train_0014.jpg,pool,g_train_0014.jpg,price
train_0015.jpg,pool,g_train_0015.jpg,position
train_0016.jpg,pool,g_train_0016.jpg,text_other
train_0018.jpg,pool,g_train_0018.jpg,text_other
train_0020.jpg,pool,g_train_0020.jpg,price
train_0021.jpg,pool,g_train_0021.jpg,text_other
train_0024.jpg,pool,g_train_0024.jpg,text_other
train_0025.jpg,pool,g_train_0025.jpg,number
train_0026.jpg,pool,g_train_0026.jpg,text_other
train_0028.jpg,pool,g_train_0028.jpg,text_other
train_0029.jpg,pool,g_train_0029.jpg,text_other
train_0030.jpg,pool,g_train_0030.jpg,text_other
train_0031.jpg,pool,g_train_0031.jpg,text_other
train_0032.jpg,pool,g_train_0032.jpg,price
train_0033.jpg,pool,g_train_0033.jpg,text_other
train_0035.jpg,pool,g_train_0035.jpg,text_other
train_0036.jpg,pool,g_train_0036.jpg,position
train_0037.jpg,pool,g_train_0037.jpg,text_other
train_0038.jpg,pool,g_train_0038.jpg,negation
train_0039.jpg,pool,g_train_0039.jpg,price
train_0040.jpg,pool,g_train_0040.jpg,text_other
train_0044.jpg,pool,g_train_0044.jpg,price
train_0045.jpg,pool,g_train_0045.jpg,price
train_0046.jpg,pool,g_train_0046.jpg,text_other
train_0047.jpg,pool,g_train_0047.jpg,text_other
train_0048.jpg,pool,g_train_0048.jpg,position
train_0049.jpg,pool,g_train_0049.jpg,text_other
train_0050.jpg,pool,g_train_0050.jpg,text_other
train_0051.jpg,pool,g_train_0051.jpg,text_other
train_0052.jpg,pool,g_train_0052.jpg,text_other
train_0053.jpg,pool,g_train_0053.jpg,negation
train_0056.jpg,pool,g_train_0056.jpg,text_other
train_0059.jpg,pool,g_train_0059.jpg,text_other
train_0060.jpg,pool,g_train_0060.jpg,text_other
train_0063.jpg,pool,g_train_0063.jpg,text_other
train_0064.jpg,pool,g_train_0064.jpg,number
train_0066.jpg,pool,g_train_0066.jpg,text_other
train_0068.jpg,pool,g_train_0068.jpg,position
train_0069.jpg,pool,g_train_0069.jpg,text_other
train_0070.jpg,pool,g_train_0070.jpg,price
train_0071.jpg,pool,g_train_0071.jpg,text_other
train_0072.jpg,pool,g_train_0072.jpg,price
train_0075.jpg,pool,g_train_0075.jpg,text_other
train_0076.jpg,pool,g_train_0076.jpg,text_other
train_0077.jpg,pool,g_train_0077.jpg,price
train_0079.jpg,pool,g_train_0079.jpg,text_other
train_0080.jpg,pool,g_train_0080.jpg,text_other
train_0081.jpg,pool,g_train_0081.jpg,position
train_0084.jpg,pool,g_train_0084.jpg,text_other
train_0086.jpg,pool,g_train_0086.jpg,text_other
train_0087.jpg,pool,g_train_0087.jpg,price
