id,split,group_id,question_type
train_0001.jpg,train,g_train_0001.jpg,text_other
train_0002.jpg,train,g_train_0002.jpg,text_other
train_0003.jpg,train,g_train_0003.jpg,negation
train_0004.jpg,train,g_train_0004.jpg,text_other
train_0005.jpg,holdout,g_train_0005.jpg,text_other
train_0006.jpg,train,g_train_0006.jpg,position
train_0007.jpg,holdout,g_train_0007.jpg,text_other
train_0008.jpg,train,g_train_0008.jpg,number
train_0009.jpg,train,g_train_0009.jpg,number
train_0010.jpg,train,g_train_0010.jpg,price
train_0011.jpg,train,g_train_0011.jpg,text_other
train_0012.jpg,train,g_train_0012.jpg,text_other
train_0013.jpg,holdout,g_train_0013.jpg,text_other
train_0014.jpg,train,g_train_0014.jpg,price
train_0015.jpg,train,g_train_0015.jpg,position
train_0016.jpg,train,g_train_0016.jpg,text_other
train_0017.jpg,valid,g_train_0017.jpg,text_other
train_0018.jpg,train,g_train_0018.jpg,text_other
train_0019.jpg,holdout,g_train_0019.jpg,position
train_0020.jpg,train,g_train_0020.jpg,price
train_0021.jpg,train,g_train_0021.jpg,text_other
train_0022.jpg,holdout,g_train_0022.jpg,text_other
train_0023.jpg,holdout,g_train_0023.jpg,text_other
train_0024.jpg,train,g_train_0024.jpg,text_other
train_0025.jpg,train,g_train_0025.jpg,number
train_0026.jpg,train,g_train_0026.jpg,text_other
train_0027.jpg,train,g_train_0027.jpg,text_other
train_0028.jpg,train,g_train_0028.jpg,text_other
train_0029.jpg,train,g_train_0029.jpg,text_other
train_0030.jpg,train,g_train_0030.jpg,text_other
train_0031.jpg,train,g_train_0031.jpg,text_other
train_0032.jpg,train,g_train_0032.jpg,price
train_0033.jpg,train,g_train_0033.jpg,text_other
train_0034.jpg,valid,g_train_0034.jpg,text_other
train_0035.jpg,train,g_train_0035.jpg,text_other
train_0036.jpg,train,g_train_0036.jpg,position
train_0037.jpg,train,g_train_0037.jpg,text_other
train_0038.jpg,train,g_train_0038.jpg,negation
train_0039.jpg,train,g_train_0039.jpg,price
train_0040.jpg,train,g_train_0040.jpg,text_other
train_0041.jpg,valid,g_train_0041.jpg,position
train_0042.jpg,holdout,g_train_0042.jpg,text_other
train_0043.jpg,holdout,g_train_0043.jpg,price
train_0044.jpg,train,g_train_0044.jpg,price
train_0045.jpg,train,g_train_0045.jpg,price
train_0046.jpg,train,g_train_0046.jpg,text_other
train_0047.jpg,train,g_train_0047.jpg,text_other
train_0048.jpg,train,g_train_0048.jpg,position
train_0049.jpg,train,g_train_0049.jpg,text_other
train_0050.jpg,train,g_train_0050.jpg,text_other
train_0051.jpg,train,g_train_0051.jpg,text_other
train_0052.jpg,train,g_train_0052.jpg,text_other
train_0053.jpg,train,g_train_0053.jpg,negation
train_0054.jpg,holdout,g_train_0054.jpg,text_other
train_0055.jpg,holdout,g_train_0055.jpg,text_other
train_0056.jpg,train,g_train_0056.jpg,text_other
train_0057.jpg,train,g_train_0057.jpg,price
train_0058.jpg,holdout,g_train_0058.jpg,position
train_0059.jpg,train,g_train_0059.jpg,text_other
train_0060.jpg,train,g_train_0060.jpg,text_other
train_0061.jpg,holdout,g_train_0061.jpg,text_other
train_0062.jpg,holdout,g_train_0062.jpg,position
train_0063.jpg,train,g_train_0063.jpg,text_other
train_0064.jpg,train,g_train_0064.jpg,number
train_0065.jpg,valid,g_train_0065.jpg,text_other
train_0066.jpg,train,g_train_0066.jpg,text_other
train_0067.jpg,valid,g_train_0067.jpg,text_other
train_0068.jpg,train,g_train_0068.jpg,position
train_0069.jpg,train,g_train_0069.jpg,text_other
train_0070.jpg,train,g_train_0070.jpg,price
train_0071.jpg,train,g_train_0071.jpg,text_other
train_0072.jpg,train,g_train_0072.jpg,price
train_0073.jpg,holdout,g_train_0073.jpg,number
train_0074.jpg,valid,g_train_0074.jpg,text_other
train_0075.jpg,train,g_train_0075.jpg,text_other
train_0076.jpg,train,g_train_0076.jpg,text_other
train_0077.jpg,train,g_train_0077.jpg,price
train_0078.jpg,train,g_train_0078.jpg,text_other
train_0079.jpg,train,g_train_0079.jpg,text_other
train_0080.jpg,train,g_train_0080.jpg,text_other
train_0081.jpg,train,g_train_0081.jpg,position
train_0082.jpg,valid,g_train_0082.jpg,price
train_0083.jpg,valid,g_train_0083.jpg,text_other
train_0084.jpg,train,g_train_0084.jpg,text_other
train_0085.jpg,train,g_train_0085.jpg,text_other
train_0086.jpg,train,g_train_0086.jpg,text_other
train_0087.jpg,train,g_train_0087.jpg,price
train_0088.jpg,train,g_train_0088.jpg,text_other
train_0089.jpg,train,g_train_0089.jpg,number
train_0090.jpg,train,g_train_0090.jpg,text_other
train_0091.jpg,train,g_train_0091.jpg,text_other
train_0092.jpg,train,g_train_0092.jpg,price
train_0093.jpg,train,g_train_0093.jpg,text_other
train_0094.jpg,train,g_train_0094.jpg,position
train_0095.jpg,train,g_train_0095.jpg,price
train_0096.jpg,train,g_train_0096.jpg,price
train_0097.jpg,train,g_train_0097.jpg,text_other
train_0098.jpg,train,g_train_0098.jpg,text_other
train_0099.jpg,holdout,g_train_0099.jpg,text_other
train_0100.jpg,train,g_train_0100.jpg,price
train_0101.jpg,train,g_train_0101.jpg,text_other
train_0102.jpg,train,g_train_0102.jpg,text_other
train_0103.jpg,valid,g_train_0103.jpg,negation
train_0104.jpg,train,g_train_0104.jpg,price
train_0105.jpg,train,g_train_0105.jpg,text_other
train_0106.jpg,train,g_train_0106.jpg,text_other
train_0107.jpg,train,g_train_0107.jpg,text_other
train_0108.jpg,train,g_train_0108.jpg,text_other
train_0109.jpg,train,g_train_0109.jpg,number
train_0110.jpg,train,g_train_0110.jpg,price
train_0111.jpg,train,g_train_0111.jpg,text_other
train_0112.jpg,train,g_train_0112.jpg,position
train_0113.jpg,valid,g_train_0113.jpg,number
train_0114.jpg,train,g_train_0114.jpg,text_other
train_0115.jpg,train,g_train_0115.jpg,position
train_0116.jpg,train,g_train_0116.jpg,text_other
train_0117.jpg,train,g_train_0117.jpg,text_other
train_0118.jpg,train,g_train_0118.jpg,price
train_0119.jpg,train,g_train_0119.jpg,text_other
train_0120.jpg,train,g_train_0120.jpg,text_other
train_0121.jpg,holdout,g_train_0121.jpg,text_other
train_0122.jpg,train,g_train_0122.jpg,text_other
train_0123.jpg,train,g_train_0123.jpg,text_other
train_0124.jpg,train,g_train_0124.jpg,text_other
train_0125.jpg,train,g_train_0125.jpg,text_other
train_0126.jpg,holdout,g_train_0126.jpg,text_other
train_0127.jpg,train,g_train_0127.jpg,number
train_0128.jpg,train,g_train_0128.jpg,text_other
train_0129.jpg,train,g_train_0129.jpg,number
