update,mean_loss,grad_norm,lr
1,2.9972392320632935,6.0876688957214355,0.0001
2,2.9426401257514954,6.065027713775635,9.772727272727274e-05
3,2.7494346499443054,4.729551792144775,9.545454545454546e-05
4,2.202794671058655,5.320592403411865,9.318181818181818e-05
5,1.7657269537448883,3.0798087120056152,9.090909090909092e-05
6,1.6849337816238403,1.888266682624817,8.863636363636364e-05
7,1.437532216310501,1.7084366083145142,8.636363636363637e-05
8,1.2487646043300629,1.6281566619873047,8.40909090909091e-05
9,0.9225871115922928,1.6076103448867798,8.181818181818183e-05
10,0.9871124476194382,1.8907560110092163,7.954545454545455e-05
11,1.0545722097158432,1.6577187776565552,7.727272727272727e-05
12,0.8396169692277908,1.6446412801742554,7.500000000000001e-05
13,0.6924172788858414,1.5538513660430908,7.272727272727273e-05
14,0.606814369559288,1.1062203645706177,7.045454545454546e-05
15,0.5001684948801994,0.9995719790458679,6.818181818181818e-05
16,0.5722116678953171,0.8145636320114136,6.59090909090909e-05
17,0.5246687233448029,1.1813418865203857,6.363636363636364e-05
18,0.5932541862130165,0.8232218623161316,6.136363636363636e-05
19,0.517250120639801,1.0012563467025757,5.90909090909091e-05
20,0.34016381949186325,1.7345993518829346,5.6818181818181825e-05
21,0.4237687811255455,0.7968884706497192,5.4545454545454546e-05
22,0.4636714532971382,0.8902667164802551,5.2272727272727274e-05
23,0.3248617947101593,0.6288608908653259,5e-05
24,0.6067414730787277,0.8475507497787476,4.772727272727273e-05
25,0.31561455875635147,0.6751827001571655,4.545454545454546e-05
26,0.4446263760328293,1.0066466331481934,4.318181818181819e-05
27,0.38335513323545456,0.9923281073570251,4.0909090909090915e-05
28,0.36521095409989357,0.8616702556610107,3.8636363636363636e-05
29,0.6577079221606255,0.7609615921974182,3.6363636363636364e-05
30,0.28428762033581734,0.5994366407394409,3.409090909090909e-05
31,0.3810478672385216,0.8716267943382263,3.181818181818182e-05
32,0.5497943386435509,0.9634147882461548,2.954545454545455e-05
33,0.5462291240692139,0.7017820477485657,2.7272727272727273e-05
34,0.5444666743278503,0.8672018051147461,2.5e-05
35,0.4521326869726181,0.7851298451423645,2.272727272727273e-05
36,0.6345460712909698,0.7839036583900452,2.0454545454545457e-05
37,0.48015858232975006,0.7836583256721497,1.8181818181818182e-05
38,0.4436156749725342,0.7257105708122253,1.590909090909091e-05
39,0.43763725087046623,0.8715067505836487,1.3636363636363637e-05
40,0.3760438300669193,0.7115488648414612,1.1363636363636365e-05
41,0.426985178142786,0.8400123119354248,9.090909090909091e-06
42,0.46740908175706863,0.8170091509819031,6.818181818181818e-06
43,0.45086507499217987,0.9819353818893433,4.5454545454545455e-06
44,0.5177568346261978,0.7292550206184387,2.2727272727272728e-06
45,0.44366610795259476,0.7614620327949524,0.0
